id,name,force,target,synergist,stabilizer,dynamic stabilizer,antagonist stabilizer,instructions
BackGeneral/LVOneArmStandingRow,Lever One Arm Standing Row (plate loaded),Pull,"
;Back, General ;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal ;
;Obliques;
","
;Triceps; (supporting arm) ;
","
;Biceps Brachii;
;Triceps, Long Head ;
",,"Preparation

Place hand on support bar and grasp lever far forward. Place foot on side of moving arm on foot support and position opposite foot behind.

Execution

Pull lever to side while twisting torso toward opposite side. Pull shoulder back and push chest forward during contraction. Return until arm is extended and torso is pulled toward original direction. Repeat. Continue with opposite arm.

Comments

Unique apparatus designed and built by Tracey Cheuvront.
"
DeltoidPosterior/CBStandingRearDeltRowStirrups,Cable Standing Rear Delt Row (stirrups),Pull,"
;Deltoid, Posterior;
","
;Infraspinatus;
;Teres Minor;
;Deltoid, Lateral;
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Brachialis;
;Brachioradialis;
","
;Erector Spinae;
","
;Biceps Brachii;
",,"Preparation

Stand facing twin pulley cables positioned shoulder height. Grasp stirrup cable attachment in each hand. Step back with one foot so arms and shoulders are positioned straight forward with cable taut. Point elbows outward.

Execution

Pull stirrups out to sides, keeping elbows at shoulder height until elbows travel slightly behind back. Allow wrists to follow elbows. Keep upper arms horizontal, perpendicular to trunk. Return until arms are extended and shoulders are stretched forward. Repeat.

Comments

The relatively powerful Latissimus Dorsi becomes involved:


if upper arm travels closer than perpendicular to trunk
if torso is positioned forward beyond vertical


Also see movement on cable seated row apparatus.
"
DeltoidAnterior/LVOneArmShoulderPress,Lever One Arm Shoulder Press (plate loaded),Push,"
;Deltoid, Anterior;
","
;Pectoralis Major, Clavicular;
;Supraspinatus;
;Triceps Brachii;
;Trapezius, Middle;
;Trapezius, Lower;
;Serratus Anterior, Inferior Digitations;
;Pectoralis Major, Clavicular;
","
;Trapezius, Upper;
;Levator Scapulae;
;Obliques;
;Psoas major;
;Iliocastalis lumborum;
;Iliocastalis thoracis;
","
;Triceps, Long Head;
;Biceps Brachii;
",,"Preparation

Stand to one side, near loaded end of barbell, opposite of landmine lever. Lift end of barbell and position near shoulder with underhand grip. Stand with feet far apart (leg on same side of loaded arm is back and opposite leg is forward and bent).

Execution

Press end of barbell upward and forward until arm is extended. Lower to shoulder and repeat. Repeat with opposite side.

Comments

Keep back straight when lifting end of barbell from floor. Also see Lever One Arm Press for power.
"
DeltoidPosterior/CBStandingCrossRow,Cable Standing Cross Row,Pull,"
;Deltoid, Posterior;
","
;Infraspinatus;
;Teres Minor;
;Deltoid, Lateral;
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Brachialis;
;Brachioradialis;
",,"
;Biceps Brachii;
",,"Preparation

Stand between two shoulder-high cable pulleys (adjustable cross-over machine). Grasp right stirrup with left hand and left stirrup with right hand. Step back until cables are angled back 30° to 45°. Position both elbows at height of shoulders, one over other.

Execution

Pull both cable attachments by moving elbows back to sides. Keep upper arms horizontal, perpendicular to trunk. Return and repeat.

Comments

Latissimus Dorsi becomes involved if elbows drop below shoulders.
"
Sternocleidomastoid/LVLateralNeckFlexionH,Lever Lateral Neck Flexion (plate loaded),Pull,"
;Sternocleidomastoid;
","
;Obliques;
;Quadratus lumborum;
;Psoas major;
;Iliocastalis lumborum;
;Iliocastalis thoracis;
","
;Latissimus Dorsi;
;Pectoralis Major, Sternal;
;Pectoralis Major, Clavicular;
;Pectoralis Minor;
",,,"Preparation

Sit on seat in machine with feet apart   . Position padded lever on side of head. Center body so neck is in line with lever axis. Grasp handles for support.

Execution

Move head down to side by laterally flexing neck. Return head to opposite side and repeat. Sit in machine backwards and continue with opposite side.
"
Triceps/BWTriDip,Triceps Dip,Push,"
;Triceps Brachii;
","
;Deltoid, Anterior;
;Pectoralis Major, Sternal;
;Pectoralis Major, Clavicular;
;Pectoralis Minor;
;Rhomboids;
;Levator Scapulae;
;Latissimus Dorsi;
","
;Trapezius, Lower;
","
;Biceps Brachii;
",,"Preparation

Mount shoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.

Execution

Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.

Comments

Also see Chest Dips.



"
BackGeneral/LVCloseGripInclineRow,Lever Close Grip Incline Row (plate loaded),Pull,"
;Back, General;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal ;
",,"
;Biceps Brachii;
;Triceps, Long Head ;
",,"Preparation

Lie chest on inclined platform and grasp lever close grip handles.

Execution

Pull lever up as high as possible. Return until arms are extended and shoulders are stretched downward. Repeat.

Comments

Near top arch upper back and pull shoulders back as shown. To maximize back involvement, position body on pad or grip so wrists follow elbows.
"
Triceps/CBPushdownRope,Cable Pushdown (with rope attachment),Push,"
;Triceps Brachii;
","
;None ;
","
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Pectoralis Major, Sternal;
;Pectoralis Minor;
;Trapezius, Lower;
;Rectus Abdominis;
;Obliques;
;Wrist Flexors;
;Flexor Carpi Ulnaris;
;Extensor Carpi Ulnaris;


;
",,"
;Erector Spinae;
","Preparation

Face high pulley and grasp rope attachment with clinched hands side by side (palms in). Position elbows to side.

Execution

Extend arms down. Turn palms down at bottom. Return until forearm is close to upper arm and hands are in original position. Repeat.
"
Brachioradialis/BBReversePreacherCurl,Barbell Reverse Preacher Curl,Pull,"
;Brachioradialis;
","
;Brachialis;
;Biceps Brachii;
","
;Wrist Extensors;
",,,"Preparation

Sit on preacher bench placing back of arms on pad. Grasp curl bar with shoulder width overhand grip.

Execution

Raise bar until forearms are vertical. Lower barbell until arm is fully extended. Repeat.

Comments

Seat should be adjusted to allow arm pit to rest near top of pad. Back of upper arm should remain on pad.
"
WristFlexors/LVGrip,Lever Grip,Pull,"
;Wrist Flexors;
","
;None ;
","
;No significant stabilizers ;
",,,"Preparation

Sit on seat. Grasp lever handles on each side; fingers around lever handles and base of thumbs around stationary bars.

Execution

Squeeze bars together with both hands until lever makes contact with stationary bars. Lower to original position and repeat.
"
BackGeneral/LVStraightBackSeatedRowNoPad,Lever Straight Back Seated Row (no chest pad),unspecified,"
;Back, General ;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal;
","
;Erector Spinae;
;Hamstrings;
;Gluteus Maximus;
;Adductor Magnus;
","
;Biceps Brachii;
;Triceps, Long Head;
","
;Rectus Abdominis;
;Obliques;
","Preparation


Sit on seat with feet positioned on foot bar or platform. Grasp handles with each hand. Position torso upright with knees bent slightly.


Execution


Pull handles to body. Pull shoulders back and lift chest by arching back. Return until arms are extended, back is straight, and shoulders are stretched forward. Repeat.


Comments

Exercise is performed on apparatus with no chest pad, in contrast to standard lever seated row machine. This exercise is more similar to Cable Straight Back Seated Row. Exercise may also be performed with greater low back involvement; see Lever Seated Row (no chest pad).

"
Triceps/LVAltTriExt,Lever Alternating Triceps Extension,Push,"
;Triceps Brachii;
","
;None ;
","
;Pectoralis Major, Sternal;
;Deltoid, Posterior;
;Latissimus Dorsi;
;Teres Major;
;Pectoralis Minor;
;Trapezius, Lower;
;Extensor Carpi Ulnaris;
;Flexor Carpi Ulnaris;
",,,"Preparation

Sit on seat. Grasp handles and place back of upper arms on padding.

Execution

Push one lever out and down until arm is fully extended. Return until forearm contacts upper arm. Repeat with opposite arm. Continue alternating movement between arms.
"
DeltoidLateral/CBSeatedYRaise,Cable Seated Y Raise,Pull,"
;Deltoid, Lateral;
","
;Supraspinatus;
;Teres Minor;
;Infraspinatus;
;Trapezius, Lower;
;Trapezius, Middle;
;Serratus Anterior, Inferior Digitations;
;Deltoid, Anterior;
;Deltoid, Posterior;
","
;Trapezius, Upper;
;Levator Scapulae;
;Wrist Extensors;
;Hamstrings;
;Gluteus Maximus;
;Adductor Magnus;
;Erector Spinae;
",,,"Preparation

On dual pulley seated row machine, sit slightly forward on seat or bench in order to grasp both cable attachments. Place feet on vertical platform. Position torso upright and slide hips back so knees are slightly bent.

Execution

Raise arms upward and outward to sides in Y configuration while allowing elbows to partially bend. Pull back until elbows are approximately lateral to each ear. Lower stirrups forward and downward until arms are extended straight in front of body. Repeat.

Comments

Keep torso upright throughout exercise. Stirrup is raised by combining shoulder abduction and flexion. Slight shoulder external rotation may occur with elbows bent. Front Deltoid assists shoulder flexion if upper arm angle is slightly high. Rear Deltoid assists shoulder horizontal abduction if upper arm angle is slightly low. Also see Cable Seated Y Raise on single pulley machine with rope attachment.
"
Triceps/CBBentoverTriExt,Cable Bent-over Triceps Extension,Push,"
;Triceps Brachii;
","
;
","
;Deltoid, Anterior;
;Pectoralis Major, Clavicular;
;Wrist Flexors;
;Rectus Abdominis;
;Obliques;
",,"
;Erector Spinae;
","Preparation

Grasp cable bar from medium-high pulley with narrow or shoulder width overhand grip. Turn body away from pulley apparatus and position turned cable bar behind neck. Bend over downward with cable bar positioned behind neck, gripped at each side. Lunge forward with one leg. Allow elbows to be pulled back under cable resistance.

Execution

Extend forearms forward until elbows are straight. Allow cable bar to return back over neck. Repeat.
"
Triceps/CBBarPushdownHeavy,Cable Bar Pushdown (forward leaning),Push,"
;Triceps Brachii;
","
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Pectoralis Major, Sternal;
;Pectoralis Minor;
","
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Pectoralis Major, Sternal;
;Pectoralis Minor;
;Trapezius, Lower;
;Rectus Abdominis;
 ;Obliques;
;Wrist Flexors;
",,"
;Erector Spinae;
","Preparation

Face high pulley and grasp cable bar attachment with overhand grip. Position one leg back and bend forward leg with body leaning forward. Position revolving bar down in front of face with forearms nearing vertical.

Execution

Push cable bar downward by extending arms until elbows are straight. Return to front of face until forearms are nearly vertical and close to upper arm. Repeat.
"
BackGeneral/BBBentOverRow,Barbell Bent-over Row,Pull,"
;Back, General;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal;
","
;Erector Spinae;
;Hamstrings;
;Gluteus Maximus;
;Adductor Magnus;
;Quadriceps;
","
;Biceps Brachii;
;Triceps, Long Head;
","
;Rectus Abdominis;
;Obliques;
","Preparation

Bend knees slightly and bend over bar with back straight. Grasp bar with wide overhand grip.

Execution

Pull bar to upper waist. Return until arms are extended and shoulders are stretched downward. Repeat.

Comments

Torso may be kept horizontal for strict execution. Knees are bent in effort to keep low back straight (See Hamstring Inflexibility). If low back becomes rounded due to tight hamstrings, either try bending knees more or don't position torso as low. Either fix may compromise involvement of Latissimus Dorsi since it forces more shoulder transverse extension and less shoulder extension range of motion. If low back is rounded due to poor form, deadlift weight to standing position and lower torso into horizontal position with knees bent and back straight. A shoulder width or underhand grip can increase lat involvement by emphasizing shoulder extension over transverse extension. A wide overhand grip involves overall back musculature while slightly emphasizing Rear Delt, Infraspinatus and Teres Minor involvement. Also known as Pendlay Row.
"
BackGeneral/LVNarrowGripSeatedRowH,Lever Narrow Grip Seated Row (plate loaded),Pull,"
;Back, General ;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal ;
",,"
;Biceps Brachii;
;Triceps, Long Head ;
",,"Preparation

Sit on seat and position chest against pad. Grasp lever handles with underhand grip.

Execution

Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.

Comments

Seat or grip should be adjusted to allow wrists to follow elbows. When completing pull, chest slightly and pull shoulder blades together while keeping lower chest on pad. Let shoulders roll forward when arms extend.
"
TrapeziusUpper/LVShrugH,Lever Shrug (plate loaded),unspecified," ;Trapezius, Upper; "," ;Trapezius, Middle; ;Levator Scapulae; ", ;Erector Spinae; ,,,"Preparation

Stand between lever handles to sides. Squat down with feet flat on floor and grasp upper handles to sides. Stand upright by extending hips and knees to full extension.

Execution

Elevate shoulders as high as possible. Lower and repeat.
"
BackGeneral/BWSupineRowFeetElevated,Inverted Row (feet elevated),Pull,"
;Back, General;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal;
","
;Erector Spinae;
;Hamstrings;
;Gluteus Maximus;
","
;Biceps Brachii;
;Triceps, Long Head;
","
;Rectus Abdominis;
;Obliques;
","Preparation

Lay on back under fixed horizontal bar. Grasp bar with wide overhand grip. Place back of heels on elevated surface.

Execution

Keeping body straight, pull body up to bar. Return until arms are extended and shoulders are stretched forward. Repeat.

Comments

Fixed bar should be just high enough to allow arm to fully extend. Placing back of heels on elevated surface is optional. This exercise is typically performed without added resistance, although additional weight can be placed on belly or pelvis. Partner can add and remove weight, and keep weight from sliding off belly. Resistance can be reduced by raising bar and positioning heels on floor. See Gravity Vectors for greater understanding of how body angle influences resistance. Also known as Body Row or Supine Row.



"
DeltoidPosterior/LVRearDeltRaise,Lever Rear Delt Raise (plate loaded),Pull,"
;Deltoid, Posterior;
","
;Deltoid, Lateral;
;Trapezius, Upper (part II);
;Levator Scapulae;
;Brachialis;
;Brachioradialis;
;Biceps Brachii;
","
;Trapezius, Upper (part I);
;Pectoralis Minor;
","
;Biceps Brachii, Short Head;
",,"Preparation

Stand between lever handles facing away from machine. Squat down and grasp lever handles to each side. Stand up with arms straight to sides.

Execution

Pull lever up as far as possible allowing elbows to travel up behind body to each side. Lower until arms are straight and repeat.

Comments

None.
"
BackGeneral/CBOneArmTwistingRow,Cable Twisting Seated Row,Pull,"
;Back, General;
","
;Trapezius, Middle;
;Trapezius, Lower;
;Rhomboids;
;Latissimus Dorsi;
;Teres Major;
;Deltoid, Posterior;
;Infraspinatus;
;Teres Minor;
;Brachialis;
;Brachioradialis;
;Pectoralis Major, Sternal;
;Erector Spinae;
;Obliques;
;Quadratus Lumborum;
;Psoas Major;
;Iliocastalis Lumborum;
;Iliocastalis Thoracis;
","
;Hamstrings;
;Gluteus Maximus;
;Adductor Magnus;
","
;Biceps Brachii;
;Triceps, Long Head;
",,"Preparation

Sit slightly forward on platform or secured bench close to cable attachment. Bend forward and grasp cable stirrup with one hand. Slide hips back by positioning knees with slight bend. Allow shoulder with stirrup to be pulled forward with forward bend and twist through waist.

Execution

Pull cable attachment to side, extending and twisting through waist. Pull shoulders back and sit upright while pushing chest forward during contraction. Return until arm is extended and shoulder is stretched forward. Repeat and perform exercise with opposite arm.

Comments

Also see Cable One Arm Seated Row.
"
Triceps/SMCloseGripInclineBenchPress,Smith Close Grip Incline Bench Press,Push,"
;Triceps Brachii;
","
;Deltoid, Anterior;
;Pectoralis Major, Clavicular;
",,"
;Biceps Brachii;
",,"Preparation

Lie on incline bench with bar above chest and grasp bar with shoulder width or slightly narrower grip. Disengage bar by rotating bar back.

Execution

Lower weight to chest with elbows close to body. Push bar back up until arms are straight. Repeat.
"
Triceps/BWBenchDipBentKnee,Bench Dip (knees bent),Push,"
;Triceps Brachii;
","
;Deltoid, Anterior;
;Pectoralis Major, Sternal;
;Pectoralis Major, Clavicular;
;Pectoralis Minor;
;Rhomboids;
;Levator Scapulae;
;Latissimus Dorsi;
","
;Trapezius, Lower;
","
;Biceps Brachii;
",,"Preparation

Sit on side of bench. Place hands on edge of bench. Place feet on floor away from bench. Straighten arms, slide rear end off of edge of bench, and position feet on floor with knees bent.

Execution

Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise body and repeat.

Comments

Bench height should allow for full range of motion.
"
DeltoidAnterior/DBAlternatingFrontRaise,Dumbbell Alternating Front Raise,Push,"
;Deltoid, Anterior;
","
;Pectoralis Major, Clavicular;
;Deltoid, Lateral;
;Trapezius, Middle;
;Trapezius, Lower;
;Serratus Anterior, Inferior Digitations;
","
;Trapezius, Upper;
;Levator Scapulae;
;Wrist Extensors;
",,,"Preparation

Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.

Execution

Raise one dumbbell forward and upward with palms positioned downward until upper arm is above horizontal. Lower and repeat with opposite arm, alternating between arms.

Comments

Height of movement may depend on range of motion. Raise should be limited to height achieved just before tightness is felt in shoulder capsule. Alternatively, height just above horizontal may be considered adequate. Elbows may be kept straight or slightly bent throughout movement. Also see Dumbbell Front Raise.
"
LatissimusDorsi/CBUnderhandPulldown,Cable Underhand Pulldown,Pull,"
;Latissimus Dorsi;
","
;Brachialis;
;Brachioradialis;
;Teres Major;
;Deltoid, Posterior;
;Rhomboids;
;Levator Scapulae;
;Trapezius, Lower;
;Trapezius, Middle;
;Pectoralis Major, Sternal;
;Pectoralis Minor;
",,"
;Biceps Brachii;
;Triceps, Long Head;
",,"Preparation

Grasp cable bar with underhand grip. Sit with thighs under supports.

Execution

Pull down cable bar to upper chest until elbows are to sides. Return until arms and shoulders are fully extended. Repeat.
"
