id,name,muscle,equipment,description,benefits,instructions,rating
wrist-rotations-with-straight-bar,Straight-bar wrist roll-up,Forearms,,"The straight-bar wrist roll-up is a movement targeting the muscles of the forearms and hands. It is normally performed in high reps, for time, or simply to failure as a burnout for the lower arms. If shoulder fatigue limits your ability to perform the movement, it can be done with the barbell resting in a rack.","Builds hand and wrist strength
Builds forearm size and strength
Doesn't require unique equipment
If grip strength is a limitation, lifting straps allow heavier loading","Hold a barbell with both hands and your palms facing down; hands spaced about shoulder width. This will be your starting position.
Alternating between each of your hands, perform the movement by extending the wrist as though you were rolling up a newspaper. Continue alternating back and forth until failure.
Reverse the motion by flexing the wrist, rolling the opposite direction. Continue the alternating motion until failure.",9.5
barbell-glute-bridge,Barbell glute bridge,Glutes,Barbell,"The barbell glute bridge is a popular exercise targeting the muscles of the glutes and hamstrings. It can be done as a strength movement on its own, as an activation drill or warm-up for lower-body training, or as a burnout at the end of a lower-body workout.","Strengthens the glutes, hamstrings, and quads
Allows you to track and periodize weights more easily than when using a band
Builds strength that carries over into squats, deadlifts, and other movements
Great warm-up or glute activation drill to do anytime","Begin seated on the ground with a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise. Roll the bar so that it is directly above your hips, and lay down flat on the floor.
Begin the movement by driving through with your heels, extending your hips vertically through the bar. Your weight should be supported by your upper back and the heels of your feet.
Extend as far as possible, then reverse the motion to return to the starting position.",9.4
clean-and-press,Clean and press,Shoulders,Barbell,"The clean and press is a full-body lift comprised of two movements: the clean, where the bar is pulled from the floor and caught in the front rack position in three pulls or phases, followed by the overhead press. Decades ago, it was contested in the Olympics. Today, it remains a worthy centerpiece of a power and strength training program, and has full-body benefits when done for low reps as well as moderate to high reps.","Trains speed and power for athletic performance
Cleaning between each rep of multiple presses is a strength and conditioning challenge like no other
Great move for full-body strength and power","Assume a shoulder-width stance, with knees inside the arms. Now while keeping the back flat, bend at the knees and hips so that you can grab the bar with the arms fully extended and a pronated grip that is slightly wider than shoulder width. Point the elbows out to sides. The bar should be close to the shins. Position the shoulders over or slightly ahead of the bar. Establish a flat back posture. This will be your starting position.
Begin to pull the bar by extending the knees. Move your hips forward and raise the shoulders at the same rate while keeping the angle of the back constant; continue to lift the bar straight up while keeping it close to your body.
As the bar passes the knee, extend at the ankles, knees, and hips forcefully, similar to a jumping motion. As you do so, continue to guide the bar with your hands, shrugging your shoulders and using the momentum from your movement to pull the bar as high as possible. The bar should travel close to your body, and you should keep your elbows out.
At maximum elevation, your feet should clear the floor and you should start to pull yourself under the bar. The mechanics of this could change slightly, depending on the weight used. You should descend into a squatting position as you pull yourself under the bar.
As the bar hits terminal height, rotate your elbows around and under the bar. Rack the bar across the front of the shoulders while keeping the torso erect and flexing the hips and knees to absorb the weight of the bar.
Stand to full height, holding the bar in the clean position.
Without moving your feet, press the bar overhead as you exhale. Lower the bar under control .",9.4
dips-triceps-version,Triceps dip,Triceps,Body Only,"The triceps dip is a bodyweight exercise performed on parallel bars or on a pull-up and dip station. It targets the triceps first, but also stretches and strengthens the chest and shoulders. Dips with a triceps focus are usually performed with an upright torso, the knees bent and crossed, and the arms close to the body. Dips can be performed for low reps for strength or higher reps for muscle growth.","Builds muscle and strength in the triceps, as well as the chest and shoulders
Can add extra weight with a dip belt, dumbbell, or chain
Serious upper-body training with minimal equipment","To get into the starting position, hold your body at arm's length with your arms nearly locked above the bars.
Now, inhale and slowly lower yourself downward. Your torso should remain upright and your elbows should stay close to your body. This helps to better focus on tricep involvement. Lower yourself until there is a 90 degree angle formed between the upper arm and forearm.
Then, exhale and push your torso back up using your triceps to bring your body back to the starting position.
Repeat the movement for the prescribed amount of repetitions.",9.4
farmers-walk,Dumbbell farmer's walk,Forearms,Other,"The dumbbell farmer's walk is an exercise with roots in competitive strongman training, but which is also popular in CrossFit and functional training. It can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an accessory movement to heavy lifts like the deadlift.","Strengthens and challenges the grip, core, traps, upper back, shoulders, and legs
Serious cardiovascular challenge and calorie burn
Less complex to learn and perform properly than many other popular strength movements
Builds muscular coordination and mental toughness in addition to strength and muscle
If grip strength is a limiting factor, lifting straps can still enable you to use heavy weights","There are various implements that can be used for the farmers walk. These can also be performed with heavy dumbbells or short bars if these implements aren't available. Begin by standing between the implements.
After gripping the handles, lift them up by driving through your heels, keeping your back straight and your head up.
Walk taking short, quick steps, and don't forget to breathe. Move for a given distance, typically 50-100 feet, as fast as possible.",9.4
palms-up-barbell-wrist-curl-over-a-bench,Palms-up wrist curl over bench,Forearms,Barbell,"The palms-up wrist curl over bench is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout.","Builds size and strength in the forearms
Builds strength and flexibility in the wrists
Develops grip strength that carries over to strength in other movements
Trains wrist flexion
Effective even with light weight","Start out by placing a barbell on one side of a flat bench.
Kneel down on both of your knees so that your body is facing the flat bench.
Use your arms to grab the barbell with a supinated grip (palms up) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge.
Start out by curling your wrist upwards and exhaling.
Slowly lower your wrists back down to the starting position while inhaling.
Your forearms should be stationary as your wrist is the only movement needed to perform this exercise.
Repeat for the recommended amount of repetitions.
This exercise can also be performed sitting down by using your thighs as a resting position for your forearms. Your wrist can hang over your knees and the same movements as mentioned above can be performed.
You can also use a dumbbell instead of a barbell.",9.4
barbell-full-squat,Barbell Full Squat,Quadriceps,Barbell,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.","Adds size and strength to the quads, glutes, and hamstrings
Requires back and core strength to maintain torso positioning
Can be used to improve conditioning and cardiovascular health
Considered by many to be ""the king of exercises""","This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just above shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.
Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.
Step away from the rack and position your legs using a shoulder-width medium stance with the toes slightly pointed out. Keep your head up at all times and maintain a straight back. This will be your starting position.
Begin to slowly lower the bar by bending the knees and sitting back with your hips as you maintain a straight posture with the head up. Continue down until your hamstrings are on your calves. Inhale as you perform this portion of the movement.
Begin to raise the bar as you exhale by pushing the floor with the heel or middle of your foot as you straighten the legs and extend the hips to go back to the starting position.
Repeat for the recommended amount of repetitions.",9.4
deficit-deadlift,Barbell deficit deadlift,Lower Back,Barbell,"The barbell deficit deadlift is a compound exercise targeting the posterior chain. It is commonly utilized in powerlifting training to build pulling strength off the floor, but is also an effective muscle-building movement for the glutes and hamstrings. It is usually performed with lighter weight, and perhaps for higher reps, than traditional deadlifts. If these make your back sore, decrease the deficit and/or wear a weightlifting belt.","The deficit offers a greater range of motion for targeting the hamstrings
Builds size and strength in the glutes, hamstrings, and lower and upper back
Builds overall deadlift strength","Begin by having a platform or weight plates that you can stand on, usually 1-3 inches in height. Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an overhand grip or an over/under grip on heavier sets.
With your feet, and your grip set, take a big breath and then lower your hips and bend the knees until your shins contact the bar. Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward. After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar.
Lower the bar by bending at the hips and guiding it to the floor.",9.4
barbell-deadlift,Barbell Deadlift,Hamstrings,Barbell,"The barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain. It is a competition lift in the sport of powerlifting, but is also considered a classic benchmark of overall strength. When performed with the hands outside the knees, it is often called a ""conventional"" deadlift. When the feet are wide and the hands are inside the knees, it is a sumo deadlift.","Primarily targets the back, hamstrings, and glutes, but also brings in the lats, traps, and forearms
Builds core strength and stability
Can be beneficial even at light or moderate weights
Simple to scale for non-powerlifters by raising the bar to where someone can perform it without flexing their lower back
If grip is a limitation, it can be performed with a mixed grip or using straps","Approach the bar so that it is centered over your feet. Your feet should be about hip-width apart. Bend at the hip to grip the bar at shoulder-width allowing your shoulder blades to protract. Typically, you would use an alternating grip.
With your feet and your grip set, take a big breath and then lower your hips and flex the knees until your shins contact the bar. Look forward with your head. Keep your chest up and your back arched, and begin driving through the heels to move the weight upward.
After the bar passes the knees aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar.
Lower the bar by bending at the hips and guiding it to the floor.",9.4
standing-palm-in-one-arm-dumbbell-press,Single-arm palm-in dumbbell shoulder press,Shoulders,Dumbbell,"The single-arm palm-in dumbbell shoulder press builds the shoulder muscles but with two major differences from the standard dumbbell shoulder press. It's done one arm at a time and the wrist stays neutral throughout the movement. It can be performed standing or seated. A single dumbbell press can be pursued as a strength goal, or trained in traditional muscle-building rep ranges such as 8-15 reps per set or more.","Allows for greater focus on one shoulder at a time
Forces the core to stabilize an uneven load
A neutral grip may be easier on the shoulder joint than a palms-forward grip","Start by having a dumbbell in one hand with your arm fully extended to the side using a neutral grip. Use your other arm to hold on to an incline bench to keep your balance.
Your feet should be shoulder width apart from each other. Now slowly lift the dumbbell up until you create a 90 degree angle with your arm. Note: Your forearm should be perpendicular to the floor. Continue to maintain a neutral grip throughout the entire exercise.
Slowly lift the dumbbell up until your arm is fully extended. This the starting position.
While inhaling lower the weight down until your arm is at a 90 degree angle again.
Feel the contraction for a second and then lift the weight back up towards the starting position while exhaling. Remember to hold on to the incline bench and keep your feet positioned to keep balance during the exercise.
Repeat for the recommended amount of repetitions.
Switch arms and repeat the exercise.",9.4
romanian-deadlift-with-dumbbells,Romanian Deadlift With Dumbbells,Hamstrings,Dumbbell,"The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and upper back, as well as the core. The purpose of the stiff-legged, as opposed to Romanian deadlift with slightly bent knees, is to engage the hamstrings and low back to an even greater degree.","Strengthening the glutes and hamstrings will carry over to other forms of the deadlift such as conventional
Higher reps with lower weight will lend to hypertrophy of the hamstrings and posterior chain
Also works the calves, quads, and forearms indirectly","Begin in a standing position with a dumbbell in each hand. Ensure that your back is straight and stays that way for the duration of the exercise. Allow your arms to hang perpendicular to the floor, with the wrists pronated and the elbows pointed to your sides. This will be your starting position.
Initiate the movement by flexing your hips, slowly pushing your butt as far back as you can. This should entail a horizontal movement of the hips, rather than a downward movement. The knees should only partially bend, and your weight should remain on your heels.
Drive your butt back as far as you can, which should generate tension in your hamstrings as your hands approach knee level. Maintain an arch in your back throughout the exercise.
When your hips cannot perform any further backward movement, pause, and then slowly return to the starting position by extending the hips.",9.4
tire-flip,Tire flip,Quadriceps,Other,"The tire flip is an exercise that works the entire body, starting from a deadlift position and ending with a giant tire being flipped over. Each flip moves the tire farther in one direction until a set has been completed. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.","Builds strength and coordination from head to toe
Teaches how to project power and strength forward in sports
Builds strength endurance as well as mental toughness","Begin by gripping the bottom of the tire on the tread, and position your feet back a bit. Your chest should be driving into the tire.
To lift the tire, extend through the hips, knees, and ankles, driving into the tire and up.
As the tire reaches a 45 degree angle, step forward and drive a knee into the tire. As you do so adjust your grip to the upper portion of the tire and push it forward as hard as possible to complete the turn. Repeat as necessary.",9.4
clean-deadlift,Clean Deadlift,Hamstrings,Barbell,,,"Begin standing with a barbell close to your shins. Your feet should be directly under your hips with your feet turned out slightly. Grip the bar with a double overhand grip or hook grip, about shoulder width apart. Squat down to the bar. Your spine should be in full extension, with a back angle that places your shoulders in front of the bar and your back as vertical as possible.
Begin by driving through the floor through the front of your heels. As the bar travels upward, maintain a constant back angle. Flare your knees out to the side to help keep them out of the bar's path.
After the bar crosses the knees, complete the lift by driving the hips into the bar until your hips and knees are extended.",9.4
plank,Elbow plank,Abdominals,Body Only,"The elbow plank is a popular isometric abdominal exercise. It is common in all types of exercise programs, as well as in group fitness and yoga classes. It targets the muscles of the core, the deep core or transversus abdominis in particular. It is also often prescribed for time to help back pain or to teach proper bracing.","Forces the core to stabilize in space when performed correctly
Requires no equipment
Excellent diagnostic tool for trainers to show compensation or core weakness
To progress, lift an arm or leg, or place a weight plate on the upper back","Get into a prone position on the floor, supporting your weight on your toes and your forearms. Your arms are bent and directly below the shoulder.
Keep your body straight at all times, and hold this position as long as possible. To increase difficulty, an arm or leg can be raised.",9.3
bottoms-up,Bottoms Up,Abdominals,Body Only,"The lying leg lift is a popular bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It can be performed for time or reps in the core-focused portion of any workout.","Intense burn and contraction of the core muscles
Great for a high-rep ab burnout
Pairs well with other ab movements in circuits","Begin by lying on your back on the ground. Your legs should be straight and your arms at your side. This will be your starting position.
To perform the movement, tuck the knees toward your chest by flexing the hips and knees. Following this, extend your legs directly above you so that they are perpendicular to the ground. Rotate and elevate your pelvis to raise your glutes from the floor.
After a brief pause, return to the starting position.",9.3
box-squat,Barbell back squat to box,Quadriceps,Barbell,"The barbell back squat to box is a popular version of a classic lower-body exercise that utilizes a box at the bottom position of the movement. This allows the lifter to customize the depth of the squat, as well as limit the stretch reflex at the bottom of the squat. The movement targets the quadriceps, glutes, and hamstrings. The squat to box can be performed for low reps to build strength or power, or for higher reps to build muscle.","Allows for a customizable squat depth
Encourages squatting rearward rather than downward, targeting the glutes
Works well with accommodating resistance like bands and chains
Effective substitute for back squats in any program","The box squat allows you to squat to desired depth and develop explosive strength in the squat movement. Begin in a power rack with a box at the appropriate height behind you. Typically, you would aim for a box height that brings you to a parallel squat, but you can train higher or lower if desired.
Begin by stepping under the bar and placing it across the back of the shoulders. Squeeze your shoulder blades together and rotate your elbows forward, attempting to bend the bar across your shoulders. Remove the bar from the rack, creating a tight arch in your lower back, and step back into position. Place your feet wider for more emphasis on the back, glutes, adductors, and hamstrings, or closer together for more quad development. Keep your head facing forward.
With your back, shoulders, and core tight, push your knees and butt out and you begin your descent. Sit back with your hips until you are seated on the box. Ideally, your shins should be perpendicular to the ground. Pause when you reach the box, and relax the hip flexors. Never bounce off of a box.
Keeping the weight on your heels and pushing your feet and knees out, drive upward off of the box as you lead the movement with your head. Continue upward, maintaining tightness head to toe.",9.3
clean-and-jerk,Clean and jerk,Shoulders,Barbell,"The clean and jerk is a full-body lift that is one of two contested lifts in Olympic weightlifting competitions. It is comprised of two movements: the clean, where the bar is pulled from the floor and caught in the front rack position in three pulls or phases, followed by the jerk overhead. The clean and jerk hits every muscle from head to toe and can be the centerpiece of a lifting program. It is also popular in CrossFit and athletic training programs. It is usually performed in low rep ranges, focusing on power and movement quality.","Trains speed and power for athletic performance
Allows you to use more weight than a strict press or push-press
Great move for full-body strength and power","With a barbell on the floor close to the shins, take an overhand or hook grip just outside the legs. Lower your hips with the weight focused on the heels, back straight, head facing forward, chest up, with your shoulders just in front of the bar. This will be your starting position.
Begin the first pull by driving through the heels, extending your knees. Your back angle should stay the same, and your arms should remain straight. Move the weight with control as you continue to above the knees.
Next comes the second pull, the main source of acceleration for the clean. As the bar approaches the mid-thigh position, begin extending through the hips. In a jumping motion, accelerate by extending the hips, knees, and ankles, using speed to move the bar upward. There should be no need to actively pull through the arms to accelerate the weight; at the end of the second pull, the body should be fully extended, leaning slightly back, with the arms still extended.
As full extension is achieved, transition into the third pull by aggressively shrugging and flexing the arms with the elbows up and out. At peak extension, aggressively pull yourself down, rotating your elbows under the bar as you do so. Receive the bar in a front squat position, the depth of which is dependent upon the height of the bar at the end of the third pull. The bar should be racked onto the protracted shoulders, lightly touching the throat with the hands relaxed. Continue to descend to the bottom squat position, which will help in the recovery.
Immediately recover by driving through the heels, keeping the torso upright and elbows up. Continue until you have risen to a standing position.
The second phase is the jerk, which raises the weight overhead. Standing with the weight racked on the front of the shoulders, begin with the dip. With your feet directly under your hips, flex the knees without moving the hips backward. Go down only slightly, and reverse direction as powerfully as possible.
Drive through the heels create as much speed and force as possible, and be sure to move your head out of the way as the bar leaves the shoulders.
At this moment as the feet leave the floor, the feet must be placed into the receiving position as quickly as possible. In the brief moment the feet are not actively driving against the platform, the athletes effort to push the bar up will drive them down. The feet should be split, with one foot forward, and one foot back. Receive the bar with the arms locked out overhead. Return to a standing position.",9.3
one-arm-kettlebell-push-press,Single-arm kettlebell push-press,Shoulders,Kettlebells,"The single-arm kettlebell push-press is a popular kettlebell movement that involves performing a press with help from the muscles of the lower body. It is preceded by a clean at the start of each set, and optionally you can perform a clean between each rep. It can be trained in traditional strength or muscle-building rep ranges, in circuit or fat-loss training, or as part of a larger kettlebell combination or complex.","Momentum from the legs powers the weight through the toughest part of the press
Allows you to press more weight than a strict military press
Full-body training that challenges the lower body as well as the shoulders, arms, back, and core
Cleaning the kettlebells to the rack position trains the hips, core, and back muscles","Hold a kettlebell by the handle. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so, so that the palm faces forward. This will be your starting position.
Dip your body by bending the knees, keeping your torso upright.
Immediately reverse direction, driving through the heels, in essence jumping to create momentum. As you do so, press the kettlebell overhead to lockout by extending the arms, using your body's momentum to move the weight. Lower the weight to perform the next repetition.",9.3
push-press,Push-press,Quadriceps,Barbell,"The push-press is an overhead press variation in which the barbell is pushed upward with assistance from the lower body. This ""push"" helps the weight travel through the sticking point of a strict press. The push-press is commonly performed as part of barbell complexes, power training for all types of athletics, or as a powerful shoulder exercise.","Builds full-body power, strength, and coordination
Allows you to put heavier weight overhead than with a strict press
Works for low reps and moderate to high reps
Great full-body move with a shoulder emphasis","Use the floor-to-shoulder lifting technique described in the Power Clean exercise to move the bar from the floor to the shoulders.
Slightly flex the hips and knees, keeping torso erect.
Immediately follow with an explosive push upward by extending the knees.
Keep torso erect and tensed.
At maximum hip and knee extension, shift body weight to balls of feet and extend ankle joints.
At maximum plantar flexion, push bar from the shoulders.
Push the bar with the arms to a fully extended elbow position overhead.
Lower bar to shoulders.
Flex hips and knees slightly as bar touches shoulders.
Straighten the hips and knees before the upward movement phase begins again.
Exhale through the sticking point of the upward movement phase.
Inhale during the downward movement phase.",9.3
suspended-fallout,Suspended ab fall-out,Abdominals,Other,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.","Intense training of multiple core muscles
Difficulty level can easily be changed by raising or lowering the straps
Also works muscles of the lats (latissimus dorsi) and shoulders","Adjust the straps so the handles are at an appropriate height, below waist level.
Begin standing and grasping the handles. Lean into the straps, moving to an incline push-up position. This will be your starting position.
Keeping your arms straight, lean further into the suspension straps, bringing your body closer to the ground, allowing your shoulders to extend, raising your arms up and over your head.
Maintain a neutral spine and keep the rest of your body straight, your shoulders being the only joints allowed to move.
Pause during the peak contraction, and then return to the starting position.",9.3
standing-military-press,Military press,Shoulders,Barbell,"The military press is a compound movement used to build size and strength in the shoulders. It was once contested as a fourth powerlift, but is rarely competed anymore. However, being able to press a significant weight overhead remains a popular marker of upper-body strength. The military press can be trained as a strength lift or in traditional muscle-building rep ranges as part of full-body, shoulder-focused, or upper-body training.","Serious shoulder builder and overall strength measurement
Builds upper-body strength for other movements
Encourages healthy shoulder mobility
Triceps, core, upper back, and legs help move and stabilize the barbell","Start by placing a barbell that is about chest high on a squat rack. Once you have selected the weights, grab the barbell using a pronated (palms facing forward) grip. Make sure to grip the bar wider than shoulder width apart from each other.
Slightly bend the knees and place the barbell on your collar bone. Lift the barbell up keeping it lying on your chest. Take a step back and position your feet shoulder width apart from each other.
Once you pick up the barbell with the correct grip length, lift the bar up over your head by locking your arms. Hold at about shoulder level and slightly in front of your head. This is your starting position.
Lower the bar down to the collarbone slowly as you inhale.
Lift the bar back up to the starting position as you exhale.
Repeat for the recommended amount of repetitions.
This exercise can also be performed sitting as those with lower back problems are better off performing this seated variety.
The behind the neck variation is not recommended for people with shoulder problems as it can be hard on the rotator cuff due to the hyperextension created by bringing the bar behind the neck.
Another option is to use dumbbells when performing this exercise for better isolation.",9.3
