id,name,force,target,synergist,stabilizer,dynamic stabilizer,antagonist stabilizer,instructions
Brachioradialis/CBBarReverseCurl,Cable Bar Reverse Curl,Pull,Brachioradialis,Brachialis;Biceps Brachii,"Deltoid, Anterior;Trapezius, Upper;Trapezius, Middle;Levator Scapulae;Wrist Extensors",,,"Preparation

Grasp cable bar with shoulder width overhand grip. Stand close to cable bar.

Execution

With elbows to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat.
"
WristExtensors/LVRollerWristExtention,Lever Roller Wrist Extension,Pull,Wrist Extensors,,Wrist/Finger Flexors,,,"Grasp wrist roller handle with both hands; over hand grip.

Execution

With left hand gripping handle, relax grip of right hand and slide grip in front of handle (by flexing wrist) and regrip. Relax grip of left hand and hyperextend right wrist. Repeat sequence with opposite hands, alternating back and forth until weight plate has raised up near hands. Lower weight steadily with opposite movement or loosen grip slightly to control descent of weight stack. Repeat.
"
BackGeneral/LVSeatedUnderhandRowH,Lever Underhand Seated Row (plate loaded),Pull,"Back, General","Trapezius, Middle;Trapezius, Lower;Rhomboids;Latissimus Dorsi;Teres Major;Deltoid, Posterior;Infraspinatus;Teres Minor;Brachialis;Brachioradialis;Pectoralis Major, Sternal",,"Biceps Brachii;Triceps, Long Head",,"Preparation

Sit on seat and position chest against pad. Grasp lever handles with underhand grip.

Execution

Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.
"
Triceps/CBTriExt,Cable Triceps Extension,Push,Triceps Brachii,,"Deltoid, Anterior;Pectoralis Major, Clavicular;Wrist Flexors",,,"Preparation

Stand or sit on bench or seat with back support just below shoulders. Position cable bar behind neck or shoulders with narrow overhand grip. Position elbows overhead.

Execution

Raise cable bar overhead by extending elbows until arms are positioned straight and vertical. Lower cable bar behind neck by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Repeat.
"
WristFlexors/LVWristCurlPL,Lever Wrist Curl (plate loaded),Pull,Wrist Flexors,,No significant stabilizers,,,"Preparation

Grasp bar with underhand grip. Place forearm on padded platform.

Execution

Raise bar up until wrist is fully flexed. Lower and repeat.
"
LatissimusDorsi/ASNeutralGripPullupFootBand,Band-assisted Neutral Grip Pull-up,Pull,Latissimus Dorsi,"Brachialis;Brachioradialis;Biceps Brachii;Teres Major;Rhomboids;Levator Scapulae;Trapezius, Lower;Pectoralis Major, Sternal;Pectoralis Minor",,"Triceps, Long Head",,"Preparation

Grab each side of hanging exercise band with both hands. Stretch exercise band down and step onto bottom inside of band with one foot. Stretch band down further by extending leg straight down. Reach up and grasp bar with neutral grip while keeping banded leg straight.

Execution

Pull body up until neck reaches height of hands. Lower body until arms and shoulders are fully extended. Repeat.

Comments

Special angled pull-up bar assembly is shown. Free foot can be placed on top of foot in band for safety in case band slips from foot.

At conclusion of set, step down with free foot at bottom of exercises. Dismount band by grasping each side of exercise band, stretch exercise band down, and step out. Continuing to hold on to each side of band while allowing band to contract to normal length.
"
DeltoidLateral/CBLateralRaise,Cable Lateral Raise,Pull,"Deltoid, Lateral","Deltoid, Anterior;Supraspinatus;Trapezius, Middle;Trapezius, Lower;Serratus Anterior, Inferior Digitations","Trapezius, Upper;Levator Scapulae;Wrist Extensors",,,"Preparation

With low pulleys to each side, grasp left stirrup with right hand and right stirrup with left hand. Stand upright.

Execution

With elbows slightly bent, raise arms to sides until elbows are shoulder height. Lower and repeat.
"
Pronators/LVSeatedPronation,Lever Seated Forearm Pronation,Push,Pronators,,No significant stabilizers,,,"Preparation

Sit on seat. Grasp rotating handles with underhand grip on each side and place forearms on pads.

Execution

Rotate shafts by turning palm downward. Return and repeat.
"
LatissimusDorsi/AsRearPullupPartner,Partner-assisted Rear Pull-up,Pull,Latissimus Dorsi,"Brachialis;Brachioradialis;Biceps Brachii;Teres Major;Pectoralis Major, Sternal;Pectoralis Minor;Rhomboids;Levator Scapulae;Trapezius, Lower",,"Triceps, Long Head",,"Preparation

Step up and grasp bar with overhand wide grip. Bend knees so partner can assist from behind.

Execution

Pull body up until bar touches back of neck. Lower body until arms and shoulders are fully extended. Repeat.
"
BackGeneral/STInvertedRow,Suspended Inverted Row,Pull,"Back, General","Trapezius, Middle;Trapezius, Lower;Rhomboids;Latissimus Dorsi;Teres Major;Deltoid, Posterior;Infraspinatus;Teres Minor;Brachialis;Brachioradialis;Pectoralis Major, Sternal",Erector Spinae;Gluteus Maximus;Hamstrings,"Biceps Brachii;Triceps, Long Head",Rectus Abdominis;Obliques,"Preparation

Position suspension handles higher than arms' length above floor. Sit on floor and grasp handles. Position body supine hanging from handles with arms straight, shoulders under handles, body straight, and back of heels on floor.

Execution

Pull body up so sides of chest make contact with handles while keeping body straight. Return until arms are extended straight and shoulders are stretched forward. Repeat.

Comments

Fixed bar should be just high enough to allow arm to fully extend. See Gravity Vectors for greater understanding of body angle influences resistance.

This exercise can be performed on TRXⓇ style suspension trainer or adjustable length gymnastics rings. Also known as Body Row or Supine Row.

Easier

Resistance can be reduced by raising handles, sitting and bending at hips, or bending at knee with feet flat on floor.

Suspended RowSuspended Bent-knee Inverted Row
"
DeltoidPosterior/LVRearDeltRowHammer,Lever Seated Rear Delt Row (plate loaded),Pull,"Deltoid, Posterior","Infraspinatus;Teres Minor;Trapezius, Middle;Trapezius, Lower;Rhomboids;Brachialis;Brachioradialis;Latissimus Dorsi","Deltoid, Lateral",Biceps Brachii,,"Preparation

Place seat at low position. Sit on seat with chest against pad and grasp upper handles.

Execution

Pull lever with elbows up out to sides until upper arms are just beyond parallel, keeping upper arm horizontal, perpendicular to torso. Return and repeat.
"
Triceps/CBOneArmTriExtPronated,Cable One Arm Triceps Extension (pronated grip),Push,Triceps Brachii,,Wrist Flexors,,,"Preparation

Grasp stirrup cable attachment from behind. Place hand with cable behind neck; palm toward neck and elbow positioned upward.

Execution

Extend arm upward. Return and repeat. Continue with opposite arm.
"
DeltoidAnterior/LVFrontRaise,Lever One Arm Front Raise,Push,"Deltoid, Anterior","Pectoralis Major, Clavicular;Deltoid, Lateral;Trapezius, Middle;Trapezius, Lower;Serratus Anterior, Inferior Digitations",Wrist Extensors,,,"Preparation

Stand with lever to side, fulcrum approximately shoulder height and handle just below hip. Grasp lever handle with elbow straight or slightly bent.

Execution

Raise lever handle forward and upward until upper arm is well above horizontal. Lower and repeat. Repeat with opposite arm.
"
WristExtensors/CBRollerWristExtention,Cable Roller Wrist Extension,Pull,Wrist Extensors,,"Brachioradialis;Biceps Brachii;Brachialis;Deltoid, Anterior;Trapezius, Upper;Trapezius, Middle;Levator Scapulae;Wrist Flexors",,,"Preparation

Stand behind weight plate(s) on floor and grasp wrist roller handle with both hands; over hand grip.

Execution

With left hand gripping handle, relax grip of right hand and slide grip in front of handle (by flexing wrist) and regrip. Relax grip of left hand and hyperextend right wrist. Repeat sequence with opposite hands, alternating back and forth until weight plate has raised up near hands. Lower weight steadily with opposite movement.
"
Brachioradialis/CBStandingReversePreacherCurl,Cable Standing Reverse Preacher Curl,Pull,Brachioradialis,Brachialis;Biceps Brachii,Wrist Extensors,,,"Preparation

Stand behind preacher bench. Grasp cable bar with shoulder width overhand grip. Position back of arms on pad.

Execution

Raise cable bar toward shoulders. Lower cable bar until arm is fully extended. Repeat.
"
DeltoidPosterior/BBRearDeltRaise,Barbell Rear Delt Raise,Pull,"Deltoid, Posterior","Deltoid, Lateral;Trapezius, Upper (part II);Levator Scapulae;Brachialis;Brachioradialis;Biceps Brachii;Wrist Flexors","Trapezius, Upper (part I);Pectoralis Minor","Biceps Brachii, Short Head",,"Preparation

Stand holding barbell behind thighs or hips with arms straight down to sides.

Execution

Pull barbell behind hips and low back up as far as possible allowing elbows to travel up behind body to each side. Flex wrists near top of movement so bar can be raised higher. Lower until arms and wrists are straight. Repeat.
"
Brachialis/LVAlterPreacherCurlHighPL,"Lever Alternating Preacher Curl (arms high, plate loaded)",Pull,Brachialis,Biceps Brachii;Brachioradialis,Wrist Flexors,,"Triceps Brachii, Long Head","Preparation

Sit on curl machine. Grasp lever handles with underhand grip. Align elbows at same pivot point as fulcrum of lever while placing back of arms up on pads.

Execution

Pull one lever handle toward shoulder. Return handle until arm is fully extended. Repeat with opposite arm. Continue alternating movement between arms.
"
Triceps/ASTriDipKneeling,Machine-assisted Triceps Dip (kneeling),Push,Triceps Brachii,"Deltoid, Anterior;Pectoralis Major, Sternal;Pectoralis Major, Clavicular;Pectoralis Minor;Rhomboids;Levator Scapulae;Latissimus Dorsi","Trapezius, Lower",Biceps Brachii,,"Preparation

Mount shoulder width dip bar, arms straight with shoulders above hands. Kneel on padded platform, lowering it down slightly so hips are slightly bent.

Execution

Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.
"
DeltoidAnterior/LVOneArmShoulderPress,Lever One Arm Shoulder Press (plate loaded),Push,"Deltoid, Anterior","Pectoralis Major, Clavicular;Supraspinatus;Triceps Brachii;Trapezius, Middle;Trapezius, Lower;Serratus Anterior, Inferior Digitations;Pectoralis Major, Clavicular","Trapezius, Upper;Levator Scapulae;Obliques;Psoas major;Iliocastalis lumborum;Iliocastalis thoracis","Triceps, Long Head;Biceps Brachii",,"Preparation

Stand to one side, near loaded end of barbell, opposite of landmine lever. Lift end of barbell and position near shoulder with underhand grip. Stand with feet far apart (leg on same side of loaded arm is back and opposite leg is forward and bent).

Execution

Press end of barbell upward and forward until arm is extended. Lower to shoulder and repeat. Repeat with opposite side.
"
RectusAbdominis/BWBallRollout,Stability Ball Rollout,Push,Rectus Abdominis,"Latissimus Dorsi;Teres Major;Pectoralis Major, Sternal;Pectoralis Minor;Deltoid, Posterior;Rhomboids","Obliques;Iliopsoas;Tensor Fasciae Latae;Sartorius;Pectineus;Adductor Longus;Adductor Brevis;Triceps Brachii;Pectoralis Major, Clavicular;Wrist Flexors",Rectus Femoris,Erector Spinae,"Preparation

Kneel on floor or mat facing stability ball within arm's reach. Straighten hips with subtle bend. Also straighten arms with slight bend, down in front of body. Place fists side by side on upper side of ball closest to hips.

Execution

Lean forward and roll ridged arms out over ball. Roll forward as far as possible. Raise body back up by pulling arms back until kneeling upright in original position. Repeat.

Comments

Try to keep elbows nearly straight throughout exercise. Also known as Stability Ball Kneeling Rollout.

Target muscle, Rectus Abdominis practically contracts isometrically since only a small degree of waist flexion occurs under resistance and, with the assistance of the External Oblique, act to stabilize spine. See target muscle of rollout question. Also see Spot Reduction Myth and Lower Ab Myth.
"
LatissimusDorsi/BWRearPullup,Rear Pull-up,Pull,Latissimus Dorsi,"Brachialis;Brachioradialis;Biceps Brachii;Teres Major;Pectoralis Major, Sternal;Pectoralis Minor;Rhomboids;Levator Scapulae;Trapezius, Lower",,"Triceps, Long Head",,"Preparation

Step up and grasp bar with overhand wide grip.

Execution

Pull body up until bar touches back of neck. Lower body until arms and shoulders are fully extended. Repeat.

Comments

Range of motion will be compromised if grip is too wide.

Easier

To decrease difficulty use assisted version of this exercise.

Self-assistedPartner-assistedBand-assisted
"
BackGeneral/LVWideGripSeatedRowH,"Lever Wide Grip Seated Row (high bar, plate loaded)",Pull,"Back, General","Trapezius, Middle;Trapezius, Lower;Rhomboids;Latissimus Dorsi;Teres Major;Deltoid, Posterior;Infraspinatus;Teres Minor;Brachialis;Brachioradialis;Pectoralis Major, Sternal",,"Biceps Brachii;Triceps, Long Head",,"Preparation

Sit on seat and position chest against pad. Grasp lever handles with underhand grip.

Execution

Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.
"
Subscapularis/DBInternalRotation,Dumbbell Shoulder Internal Rotation (on bench),Pull,Subscapularis,"Pectoralis Major, Sternal;Pectoralis Major, Clavicular;Latissimus Dorsi;Teres Major;Deltoid, Anterior",Wrist Flexors,,,"Preparation

Hold dumbbell in one hand. Lie on bench close to edge on side with dumbbell in hand. Position elbow on edge of bench against side of body with elbow bent approximately 90°. Position legs on bench for support.

Execution

Maintaining 90° bend in elbow, lower dumbbell away from body until slight stretch is felt in shoulder. Lift dumbbell toward body by internally rotating shoulder until forearm is across belly. Continue with opposite arm.
"
DeltoidPosterior/CBOneArmCrossRow,Cable One Arm Standing Cross Row,Pull,"Deltoid, Posterior","Infraspinatus;Teres Minor;Deltoid, Lateral;Trapezius, Middle;Trapezius, Lower;Rhomboids;Brachialis;Brachioradialis",Obliques;Erector Spinae,Biceps Brachii,,"Preparation

Facing shoulder height cable pulley, grasp stirrup cable attachment with one hand, palm orientated down. Step back and turn body inward about 30° to 45° to face extended arm about. Stand back just enough to allow arm to be fully extended with weight raised up slightly.

Execution

Pull stirrup back with elbow up at shoulder height until elbow travels just behind shoulder. Keep upper arm horizontal, perpendicular to trunk. Return until arm is fully extended. Repeat.
"
Splenius/WtLyingNeckExtension,Weighted Lying Neck Extension,Pull,Splenius,"Trapezius, Upper;Levator Scapulae;Erector Spinae, Cervicis & Capitis Fibers;Sternocleidomastoid, Posterior Fibers",No significant stabilizers,,,"Preparation

Lie prone on bench with head extended off of end and folded towel and weight plate(s) on floor. With both hands, place plate(s) on back of head with towel placed in between for comfort.

Execution

Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.
"
DeltoidLateral/CBSeatedYRaiseRope,Cable Seated Y Raise (with rope attachment),Pull,"Deltoid, Lateral","Supraspinatus;Teres Minor;Infraspinatus;Trapezius, Lower;Trapezius, Middle;Serratus Anterior, Inferior Digitations;Deltoid, Anterior;Deltoid, Posterior","Trapezius, Upper;Levator Scapulae;Wrist Extensors;Hamstrings;Gluteus Maximus;Adductor Magnus",,,"Preparation

Sit slightly forward on seat or bench and grasp ends of rope attachment with hand. Place feet on vertical platform. Slide hips back so knees are slightly bent.

Execution

With torso upright pull rope upward over head until elbows are approximately lateral to each ear. Lower stirrups forward and downward until arms are extended straight in front of body. Repeat.
"
WristFlexors/LVGripPL,Lever Grip (plate loaded),Pull,Wrist Flexors,,No significant stabilizers,,,"Preparation

Sit on seat, straddling apparatus. Grasp lever handles on each side; fingers around lever handles and base of thumbs around stationary bars.

Execution

Squeeze bars together with both hands until lower lever makes contact with upper bars. Lower to original position and repeat.
"
Supinators/DBLyingSupinationUp,Dumbbell Lying Supination,Pull,Supinator,Biceps Brachii,,,,"Preparation

Lie on bench or mat. With hand of upper arm, grasp unilaterally loaded dumbbell; thumb next to side with weight. Bend elbow approximately 90-degrees and place forearm on hip, or side of waist. Position thumb downward (pronated).

Execution

Rotate dumbbell so thumb turns upward (supination). Return and repeat.
"
Biceps/BBCurl,Barbell Curl,Pull,Biceps Brachii,Brachialis;Brachioradialis,"Deltoid, Anterior;Trapezius, Upper;Trapezius, Middle;Levator Scapulae;Wrist Flexors",,,"Preparation

Grasp bar with shoulder width underhand grip.

Execution

With elbows to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat.
"
Supinators/DBLyingSupinationDown,Dumbbell Lying Supination (arm down),Pull,Supinator,Biceps Brachii,,,,"Preparation

Grasp unilaterally loaded dumbbell with pinkie finger next to weight side. Lie on bench on side with weight and position arm with ""half dumbbell"" on bench. Bend elbow approximately 90-degrees and tuck bent elbow under body. Position thumb up (pronated).

Execution

Rotate dumbbell so thumb turns downward (supinated). Return and repeat.
"
BackGeneral/BWUnderhandSupineRow,Inverted Biceps Row,Pull,Biceps Brachii,"Trapezius, Middle;Trapezius, Lower;Rhomboids;Latissimus Dorsi;Teres Major;Deltoid, Posterior;Infraspinatus;Teres Minor;Brachialis;Brachioradialis;Pectoralis Major, Sternal",Erector Spinae;Hamstrings;Gluteus Maximus,"Triceps, Long Head",Rectus Abdominis;Obliques,"Preparation

Lay on back under fixed horizontal bar. Grasp bar with shoulder width underhand grip.

Execution

Keeping body straight, pull body up to bar. Return until arms are extended and shoulders are stretched forward. Repeat.

Comments

Fixed bar should be just high enough to allow arm to fully extend. See Gravity Vectors for greater understanding of how body angle influences resistance. Also known as Underhand Body Row or Underhand Supine Row.

Easier

Resistance can be reduced by raising bar or pivoting torso on hips instead of heels.

High Bar
"
BackGeneral/LVWideLowGripSeatedRowH,Lever Wide Grip Seated Row (plate loaded),Pull,"Back, General","Trapezius, Middle;Trapezius, Lower;Rhomboids;Latissimus Dorsi;Teres Major;Deltoid, Posterior;Infraspinatus;Teres Minor;Brachialis;Brachioradialis;Pectoralis Major, Sternal",,"Biceps Brachii;Triceps, Long Head",,"Preparation

Sit on seat and position chest against pad. Grasp lever handles with underhand grip.

Execution

Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.
"
Splenius/WtNeckExtension,Weighted Neck Extension,Pull,Splenius,"Trapezius, Upper;Levator Scapulae;Erector Spinae, Cervicis & Capitis Fibers;Sternocleidomastoid, Posterior Fibers",No significant stabilizers,,,"Preparation

Kneel on side of bench with weight plates on end of bench. With both hands, hold weight plate(s) cushioned with towel. Position upper body prone and perpendicular on bench with head and arms extending off of side. With both hands, place weight plate(s) on back of head with towel placed in between for comfort.

Execution

Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.
"
BackGeneral/CBOneArmBentoverRow,Cable One Arm Bent-over Row,Pull,"Back, General","Trapezius, Middle;Trapezius, Lower;Rhomboids;Latissimus Dorsi;Teres Major;Deltoid, Posterior;Infraspinatus;Teres Minor;Brachialis;Brachioradialis;Pectoralis Major, Sternal",Obliques;Hamstrings;Gluteus Maximus;Triceps; (Supporting Arm),"Biceps Brachii;Triceps, Long Head",,"Preparation

Grasp cable stirrup. Step back away from pulley, with foot on same side as exercising arm, positioned out to side well behind forward foot. Bend over with hand on nearby bar or above knee for support. Keep back straight and knees slightly bent. Allow shoulder with stirrup to be pulled forward.

Execution

Pull cable attachment to side of torso, pulling shoulder back. Return until arm is extended and shoulder is stretched forward. Repeat. Continue with opposite arm.
"
BackGeneral/BWSupineRowHips,Inverted Row (on hips),Pull,"Back, General","Trapezius, Middle;Trapezius, Lower;Rhomboids;Latissimus Dorsi;Teres Major;Deltoid, Posterior;Infraspinatus;Teres Minor;Brachialis;Brachioradialis;Pectoralis Major, Sternal",Erector Spinae,"Biceps Brachii;Triceps, Long Head",Rectus Abdominis;Obliques,"Preparation

Lay on back with belly under fixed horizontal bar. Bend knees and position feet on floor. Grasp bar with wide overhand grip.

Execution

Keeping hips on floor and low back straight, pull torso up to bar. Return until arms are extended and shoulders are stretched forward. Repeat.

Comments

Fixed bar should be just high enough to allow arm to fully extend. See Gravity Vectors for greater understanding of how body angle influences resistance. Also known as Body Row on Hips or Supine Row on Hips.

Easier

Resistance can be reduced by positioning torso at angle with hips further back. Also try straight body version on high bar.

High Bar
"
Triceps/CBDeclineTricepsExt,Cable Decline Triceps Extension,Push,Triceps Brachii,,"Deltoid, Anterior;Pectoralis Major, Clavicular;Pectoralis Major, Sternal;Latissimus Dorsi;Teres Major;Deltoid, Posterior;Wrist Flexors",,,"Preparation

Position legs under lower leg pad and lie back on bench. Grasp bar with narrow overhand grip. Position bar near forehead or top of head.

Execution

Extend elbows to raise bar attachment until arms are straight. As arms extended, position them vertically. Lower bar by bending elbows. As bar nears head, reposition elbows back just enough to allow bar to clear around curvature of head. Repeat.
"
DeltoidAnterior/CBBarMilitaryPress,Cable Bar Military Press,Push,"Deltoid, Anterior","Pectoralis Major, Clavicular;Triceps Brachii;Deltoid, Lateral;Trapezius, Middle;Trapezius, Lower;Serratus Anterior, Inferior Digitations","Trapezius, Upper;Levator Scapulae","Triceps, Long Head;Biceps Brachii, Short Head",,"Preparation

Stand facing cable bar, mounted on each side to upper waist height narrow double pulley cables. Grasp cable bar with overhand grip, slightly wider than shoulder width. Position cable bar upper chest height. Stand directly between both cable pulleys with one foot forward and other foot back.

Execution

Press cable bar upward until arms are extended overhead. Return to upper chest and repeat.
"
Splenius/STNeckExtension,Suspended Neck Extension,Pull,Splenius,"Trapezius, Upper;Levator Scapulae;Sternocleidomastoid, Posterior Fibers",Erector Spinae;Gluteus Maximus;Hamstrings,,Rectus Abdominis;Obliques,"Preparation

Place belt or strap around end of suspension trainer. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to forehead. Step back facing direction of suspension trainer until it is taut. Lean back at angle against support of belt and suspension trainer by stepping forward slightly while keeping head and body straight.

Execution

Lower angle of body by bowing head until chin is near upper chest. Increase angle of body by raising head. Repeat.

Comments

This exercise can be performed with belt looped on TRXⓇ style suspension trainer or adjustable length gymnastics rings. Throughout movement, keep body straight and maintain tight grip on belt against forehead. Use neck to pull belt rather than allowing hand to assist.

Woven cotton or cloth belts tend to slip less, particularly on bald head. If belt slips from head, place small towel between belt and head. Belts not made specifically for weight training may cause injury if they fail under load in which they were not designed.
"
DeltoidLateral/CBLateralRaiseClose,Cable Lateral Raise (pulleys close),Pull,"Deltoid, Lateral","Deltoid, Anterior;Supraspinatus;Trapezius, Middle;Trapezius, Lower;Serratus Anterior, Inferior Digitations","Trapezius, Upper;Levator Scapulae;Wrist Extensors",,,"Preparation

Stand facing two low pulleys positioned side by side. Grasp stirrups with each hand. Stand upright with arms staight down to each side.

Execution

With elbows slightly bent, raise arms to side until elbows are shoulder height. Lower and repeat.
"
LatissimusDorsi/ASPullupBand,Band-assisted Pull-up,Pull,Latissimus Dorsi,"Brachialis;Brachioradialis;Biceps Brachii;Teres Major;Deltoid, Posterior;Infraspinatus;Teres Minor;Rhomboids;Levator Scapulae;Trapezius, Lower;Trapezius, Middle;Pectoralis Minor",,"Triceps, Long Head",,"Preparation

Grab each side of hanging exercise band with both hands. Stretch exercise band down and step onto bottom inside of band with one foot. Stretch band down further by extending leg straight down. Reach up and grasp bar with overhand wide grip while keeping banded leg straight.

Execution

Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.

Comments

Free foot can be placed on top of foot in band for safety in case band slips from foot. Range of motion will be compromised if grip is too wide.

At conclusion of set, step down with free foot at bottom of exercises. Dismount band by grasping each side of exercise band, stretch exercise band down, and step out. Continuing to hold on to each side of band while allowing band to contract to normal length.
"
Biceps/CBBarCurl,Cable Bar Curl,Pull,Biceps Brachii,Brachialis;Brachioradialis,"Deltoid, Anterior;Trapezius, Upper;Trapezius, Middle;Levator Scapulae;Wrist Flexors",,,"Preparation

Grasp low cable bar with shoulder width underhand grip. Stand close to cable bar.

Execution

With elbows to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat.
"
